ID,SEQUENCE,POS
19,Why not add some non Latin Characters such as _ ?,WRB RB VB DT RB JJ NNS JJ IN SYM .
20,This place was incredible .,DT NN VBD JJ .
21,Thank you .,VBP PRP .
22,"It was pretty much the first thing he told us when , as first years , we were all bunched together in the unfamiliar dusty classroom .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD RB VBN RB IN DT JJ JJ NN ."
23,"_ There they are , _ said Pavit , the head house - servant , in a strained voice .","`` RB PRP VBP , '' VBD NNP , DT NN NN HYPH NN , IN DT VBN NN ."
24,"Since your own death approaches far more quickly , this is unlikely to be of any use to you .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP ."
25,Okay thank you your honor .,UH VBP PRP PRP$ NN .
26,Is light actually bent from its straight - line path by the mass of Earth ?,VBZ NN RB VBN IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .
27,"When making a writing system , take a break about every five minutes and come back to it or all your letters will begin to look identical .","WRB VBG DT NN NN , VB DT NN RB DT CD NNS CC VB RB IN PRP CC PDT PRP$ NNS MD VB TO VB JJ ."
28,I grab her hand and pull her behind me .,PRP VBP PRP$ NN CC VBP PRP IN PRP .
29,You have anything in your hair ?,PRP VBP NN IN PRP$ NN .
30,Although neither the federal government nor any of the state governments function as a direct democracy _ the Constitution requires the national and state governments to be representative forms of government _ some elements of direct democracy do exist in the United States .,IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN : DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN : DT NNS IN JJ NN VBP VB IN DT NNP NNPS .
31,You know boys are slow ?,PRP VBP NNS VBP JJ .
32,The request was advanced by the Municipality of Livorno in 2010 .,DT NN VBD VBN IN DT NNP IN NNP IN CD .
33,"If using a silicone cupcake sheet , simply have it ready .","IN VBG DT NN NN NN , RB VB PRP JJ ."
34,"Lemon , or lemon and honey is good .","NN , CC NN CC NN VBZ JJ ."
35,"Norton would later add "" Protector of Mexico "" to this title .",NNP MD RBR VB `` NNP IN NNP '' IN DT NN .
36,Fuck fuck fuck .,UH UH UH .
37,"Internationally , the situation with COVID - 19 continues to develop at pace .","RB , DT NN IN NNP HYPH CD VBZ TO VB IN NN ."
38,The government has been much more pro-active in preparing for this cyclone than in the past .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .
39,"I was no stranger to the taunts and insults , or the foot that appears from nowhere to trip you up en route from A to B .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO VB PRP RP IN NN IN NN IN NN ."
40,"Wikinews provides additional video , audio and photographs so our readers may learn more .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB RBR ."
41,Declares himself emperor,VBZ PRP NN
42,"Although the lodging and facilities may not be the same as more modern and developed locations , Socotra is a beautiful and magnificent destination choice .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN ."
43,"It can also make him or her question your motives , leading the person to believe that you may be trying to get something out of him or her .","PRP MD RB VB PRP CC PRP VB PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP ."
44,Ingredients,NNS
45,"From the East / Arkansas - US - 412 West , aka the "" Cherokee Turnpike . ""","IN DT NNP SYM NNP : NNP HYPH CD NNP , RB DT `` NNP NNP . ''"
46,Sweat the peppers or vegetables along with the onions .,VB DT NNS CC NNS RB IN DT NNS .
47,"Cities served are Tulsa , Sand Springs , Sapulpa , Jenks , and Broken Arrow .","NNS VBN VBP NNP , NNP NNP , NNP , NNP , CC NNP NNP ."
48,"She imagined red and yellow mosaic bursts lighting up the sunless snowscape outside , as if there was an HDTV behind the blinds instead of their kitchen window .","PRP VBD JJ CC JJ NN NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN ."
49,Address to the Nation,NN IN DT NNP
50,Mhm .,UH .
51,The flavor of icing or frosting can be improved by adding a little of your favorite juice to it instead of soy milk or water .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP IN IN NN NN CC NN .
52,Because you brought this over here .,IN PRP VBD DT IN RB .
53,Great question .,JJ NN .
54,Would you be a doll ? _,MD PRP VB DT NN . ''
55,"Even the mainland school groups that fly there for school camps , and choose to stay at Kopinga Marae [ 1 ] get value for money by chartering a flight one way .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VBP TO VB IN NNP NNP -LRB- CD -RRB- VBP NN IN NN IN VBG DT NN CD NN ."
56,2.1 Early Ideas in Atomic Theory,LS JJ NNS IN JJ NN
57,Wow .,UH .
58,"For many years after her death , however , Tyler was tortured by the memory of a certain visit from her .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP ."
59,"Why did you decide to take the acoustic fate of public domain works into your own hands , and how did you go about it ?","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN NNS IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP ."
60,"One caveat , however , is that our approach uses tail reduction as the mechanism for CoM displacement despite it has been recently shown that the evolutionary change in CoM position was driven instead by forelimb enlargement [ 8 ] .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NN NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NN NN VBD VBN RB IN NN NN -LRB- CD -RRB- ."
61,There was no holder and the end was jagged .,EX VBD DT NN CC DT NN VBD JJ .
62,You smoked it down into the cork .,PRP VBD PRP RB IN DT NN .
63,Probably not .,RB RB .
64,The area attracts many humpback whales between June and November and there are lots of companies organising tours to see them .,DT NN VBZ JJ NN NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .
65,She wrote relatively little as a result of living a brief life _ she died at 24 _ but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN : PRP VBD IN CD : CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .
66,Cheers .,NNS .
67,"At the age of eight , he was my best and only friend .","IN DT NN IN CD , PRP VBD PRP$ JJS CC JJ NN ."
68,"As its "" comeback "" has continued , the official moniker is now the New American City as Cleveland has rightfully earned the reputation as a model of effective public - private partnership for urban planning .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN ."
69,This is simply a protective mechanism for their false image or their fantasy land .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .
70,1 Keeper,CD NN
71,And stuff .,CC NN .
72,Are there not ?,VBP EX RB .
73,His first role was a minor role in the 1999 film A Little Inside .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .
74,"G W Taxi 1696 Bergen Blvd , tel : 1 201 363-0555 .","NNP NNP NNP CD NNP NNP , NN : CD CD CD ."
75,"He was five or so , and they were playing some board game at the kitchen table .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN ."
76,Mérida is a city of contrasts .,NNP VBZ DT NN IN NNS .
77,I got the blades .,PRP VBD DT NNS .
78,Introduction .,NN .
79,"Long after his death , similar structures were built in the form of the San Francisco _ Oakland Bay Bridge and the Transbay Tube , and there have been campaigns to rename the bridge "" The Emperor Norton Bridge "" .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP : NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` DT NNP NNP NNP '' ."
80,"This translates in many ways , even sometimes lowering initial offering prices at markets .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS ."
81,"That year , Marbles started her career with Barstool Sports , where she wrote for their female - oriented site StoolLaLa .","DT NN , NNP VBD PRP$ NN IN NNP NNP , WRB PRP VBD IN PRP$ NN HYPH VBN NN NNP ."
82,Yeah .,UH .
83,THE RELATIONSHIP WITH EUROPE,DT NN IN NNP
84,Korea substituted Park Joo-Ho in the 28th minute of the game due to injury and was replaced by Kim Min-Woo .,NNP VBD NNP NNP IN DT JJ NN IN DT NN JJ IN NN CC VBD VBN IN NNP NNP .
85,"At a polling station in Taikoo of the Hong Kong Island constituency , after the polls closed at 22:30 , with the long queues outside the station the last ballot there was cast at 2:30 the next day , four hours after the last person was allowed to join the queue .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN RB VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN ."
86,"Pour the soy milk , vinegar , sugar , oil and vanilla into another bowl .","VB DT NN NN , NN , NN , NN CC NN IN DT NN ."
87,By car,IN NN
88,2 teaspoons ( 10 g ) baking powder,CD NNS -LRB- CD NNS -RRB- NN NN
89,Pressure for change is driven by the wish of women and men to choose their own fate and to improve their chances for a better life .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .
90,Announcing Decision To Resign the Office of President of the United States,VBG NN TO VB DT NNP IN NNP IN DT NNP NNPS
91,This African initiative is a worthy model for other regions of the world to emulate .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .
92,"Knowing that he had already been flying straight for longer than was advisable , Chalmers altered his course to attempt to throw off any pursuers .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS ."
93,Interview with US political activist and philosopher Noam Chomsky,NN IN NNP JJ NN CC NN NNP NNP
94,I think these three ?,PRP VBP DT CD .
95,"The Confederacy , not surprisingly , showed no mercy to African American troops .","DT NNP , RB RB , VBD DT NN IN JJ JJ NNS ."
96,"In his career , Dvo_ák made nine invited visits to England , often conducting performances of his own works .","IN PRP$ NN , NNP VBD CD VBN NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS ."
97,It has major airlines with direct flights to major cities in the U.S.,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT NNP
98,"For instance , gender representation in computing is an important issue with broad implications [ 5 ] , but without a full census of computing faculty , the degree of inequality and its possible sources are difficult to establish [ 6 ] .","IN NN , NN NN IN NN VBZ DT JJ NN IN JJ NNS -LRB- CD -RRB- , CC IN DT JJ NN IN NN NN , DT NN IN NN CC PRP$ JJ NNS VBP JJ TO VB -LRB- CD -RRB- ."
99,"We just came to visit . """,PRP RB VBD TO VB . ''
100,Image : NASA .,NN : NNP .
101,"Thursday , May 7 , 2015","NNP , NNP CD , CD"
102,"In Venezuela , 4 million people have fled the country _ one of the largest displacements in the world .","IN NNP , CD CD NNS VBP VBN DT NN : CD IN DT JJS NNS IN DT NN ."
103,He supported himself during his studies through part - time work as a schoolteacher and as a shorthand reporter in the Danish parliament .,PRP VBD PRP IN PRP$ NNS IN NN HYPH NN NN IN DT NN CC IN DT NN NN IN DT JJ NN .
104,"At last , some time before I stopped , the sun , red and very large , halted motionless upon the horizon , a vast dome glowing with a dull heat , and now and then suffering a momentary extinction .","IN JJ , DT NN IN PRP VBD , DT NN , JJ CC RB JJ , VBD JJ IN DT NN , DT JJ NN VBG IN DT JJ NN , CC RB CC RB VBG DT JJ NN ."
105,There are daily flights to Tehran and Mashhad in Iran .,EX VBP JJ NNS IN NNP CC NNP IN NNP .
106,Very cold .,RB JJ .
107,Mix to combine .,VB TO VB .
108,"Antonín Leopold Dvo_ák ( / d(_)_v__r___k , -_æk / d(_)-VOR-zha(h)k ; Czech : [ _antoɲi_n _l_opolt _dvor_a_k ] ; 8 September 1841 _ 1 May 1904 ) was a Czech composer .","NNP NNP NNP -LRB- SYM NNP , NNP SYM NNP : NNP : -LRB- NNP NNP NNP -RRB- : CD NNP CD SYM CD NNP CD -RRB- VBD DT JJ NN ."
109,Is it in here ?,VBZ PRP IN RB .
110,"Kiara Perkins , a second year USI art major , admitted she was willing to skip class Thursday night to attend the opening exhibit but then circumstances allowed for her to attend the exhibit .","NNP NNP , DT JJ NN NNP NN NN , VBD PRP VBD JJ TO VB NN NNP NN TO VB DT VBG NN CC RB NNS VBD IN PRP TO VB DT NN ."
111,NASA is also offering shuttle heat shield tiles to schools and universities that want to share technology and a piece of space history with their students .,NNP VBZ RB VBG NN NN NN NNS IN NNS CC NNS WDT VBP TO VB NN CC DT NN IN NN NN IN PRP$ NNS .
112,"I mean , do _ yeah , y- you got a total of uh , seven point six five percent employer contributions on the _","PRP VBP , VBP : UH , UH PRP VBN DT NN IN UH , CD NN CD CD NN NN NNS IN DT :"
113,Now we know .,RB PRP VBP .
114,Such a relief !,PDT DT NN .
115,"Senator Hatfield , Mr. Chief Justice , Mr. President , Vice President Bush , Vice President Mondale , Senator Baker , Speaker O'Neill , Reverend Moomaw , and my fellow citizens :","NNP NNP , NNP NNP NNP , NNP NNP , NNP NNP NNP , NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP , CC PRP$ JJ NNS :"
116,"For more information , see "" Dynamic and formal equivalence . ""","IN JJR NN , VB `` JJ CC JJ NN . ''"
117,""" Some people have stories about coming from the Earth , "" Veronique said .","`` DT NNS VBP NNS IN VBG IN DT NNP , '' NNP VBD ."
118,"We must do everything possible to avert the great fracture and maintain a universal system _ a universal economy with universal respect for international law , a multipolar world with strong multilateral institutions .","PRP MD VB NN JJ TO VB DT JJ NN CC VB DT JJ NN : DT JJ NN IN JJ NN IN JJ NN , DT JJ NN IN JJ JJ NNS ."
119,And for that I thank you heartily .,CC IN DT PRP VBP PRP RB .
120,Our border response is further ramping up to have health staff available for all international flights into New Zealand .,PRP$ NN NN VBZ RBR VBG RP TO VB NN NN JJ IN DT JJ NNS IN NNP NNP .
121,Not at all .,RB IN DT .
122,"I was still working up the algorithms to get it back , still learning by observation .","PRP VBD RB VBG RP DT NNS TO VB PRP RB , RB VBG IN NN ."
123,One side of the memorial is scenes made by student groups while other areas represent the counties of Taiwan .,CD NN IN DT NN VBZ NNS VBN IN NN NNS IN JJ NNS VBP DT NNS IN NNP .
124,"At Antioch , where he stayed the longest , two of his companions died and he himself was seriously ill more than once .","IN NNP , WRB PRP VBD DT RBS , CD IN PRP$ NNS VBD CC PRP PRP VBD RB JJ RBR IN RB ."
125,And then I put them in there .,CC RB PRP VBD PRP IN RB .
126,"He died the following morning [ 17 ] at ten o'clock in the Hôpital Cochin ( probably of peritonitis ) , after refusing the offices of a priest .","PRP VBD DT VBG NN -LRB- CD -RRB- IN CD RB IN DT NNP NNP -LRB- RB IN NN -RRB- , IN VBG DT NNS IN DT NN ."
127,But that part of me had been cut out along with the bad wiring .,CC DT NN IN PRP VBD VBN VBN RP IN IN DT JJ NN .
128,Zap mice with ultrasonic sounds .,VB NNS IN JJ NNS .
129,[ The Spitfire Tournament in Canada ] was a really good tournament actually .,-LRB- DT NN NN IN NNP -RRB- VBD DT RB JJ NN RB .
130,So we were trying to get as many international games as possible .,RB PRP VBD VBG TO VB RB JJ JJ NNS IN JJ .
131,The truth is clear .,DT NN VBZ JJ .
132,Superheroes,NNS
133,"To score in the 90th percentile of an exam does not mean , necessarily , that you received 90 percent on a test .","TO VB IN DT JJ NN IN DT NN VBZ RB VB , RB , IN PRP VBD CD NN IN DT NN ."
134,Re(a)d Wedding :,JJ NN :
135,Put your trash cans far from your home .,VB PRP$ NN NNS RB IN PRP$ NN .
136,"I have another styler as well , which is a gel .","PRP VBP DT NN RB RB , WDT VBZ DT NN ."
137,Figure 1 .,NNP CD .
138,Who else is involved in this project ?,WP RB VBZ VBN IN DT NN .
139,"In retrospect , I think we probably should have selected the CC BY - SA license instead of CC - BY - SA - NC .","IN NN , PRP VBP PRP RB MD VB VBN DT NNP NNP HYPH NNP NN RB IN NNP HYPH NNP HYPH NNP HYPH NNP ."
140,Will you ?,MD PRP .
141,Cara !,NNP .
142,Stretch your muscles thoroughly .,VB PRP$ NNS RB .
143,I was basically hauled in and told that my mum had attacked the church and that I needed to disconnect from her because she was suppressive . Valeska Paris,PRP VBD RB VBN RP CC VBN IN PRP$ NN VBD VBN DT NN CC IN PRP VBD TO VB IN PRP IN PRP VBD JJ . NNP NNP
144,I wish to make a ministerial statement about the first confirmed case of COVID - 19 in New Zealand .,PRP VBP TO VB DT JJ NN IN DT JJ VBN NN IN NNP HYPH CD IN NNP NNP .
145,"He arrived in 1777 at the age of 23 , and served as a military engineer in the Continental Army with Major General Lafayette .","PRP VBD IN CD IN DT NN IN CD , CC VBD IN DT JJ NN IN DT NNP NNP IN NNP NNP NNP ."
146,Watch this video on the creation of a crop vacuum that sucks up insects and bugs to learn more .,VB DT NN IN DT NN IN DT NN NN WDT VBZ RP NNS CC NNS TO VB RBR .
147,"My mother is bewildered , her face turned up towards me .","PRP$ NN VBZ VBN , PRP$ NN VBN RP IN PRP ."
148,In a 2007 study Duckworth and colleagues found that individuals with high grit were able to maintain motivation in learning tasks despite failures .,IN DT CD NN NNP CC NNS VBD IN NNS IN JJ NN VBD JJ TO VB NN IN NN NNS IN NNS .
149,"We continue to work to keep COVID - 19 out , but we are ready if it arrives in our community .","PRP VBP TO VB TO VB NNP HYPH CD RP , CC PRP VBP JJ IN PRP VBZ IN PRP$ NN ."
150,"The Air Force only selected 180 Officers a year from the Academy , Squadron Officer School and ROTC to attend .","DT NNP NNP RB VBD CD NNS DT NN IN DT NNP , NNP NNP NNP CC NNP TO VB ."
151,Oh .,UH .
152,"Over time it has merged with the neighboring cities of Scottsdale , Tempe , Glendale , Peoria , Chandler , and Gilbert to form the Greater Phoenix Metropolitan Area .","IN NN PRP VBZ VBN IN DT JJ NNS IN NNP , NNP , NNP , NNP , NNP , CC NNP TO VB DT NNP NNP NNP NNP ."
153,"F - E focuses attention on the message itself , in both form and content .","NNP HYPH NNP VBZ NN IN DT NN PRP , IN CC NN CC NN ."
154,"Sunday , October 21 , 2007","NNP , NNP CD , CD"
155,"I actually did feel something then _ faint , distant , but unmistakable .","PRP RB VBD VB NN RB : JJ , JJ , CC JJ ."
156,"Customer groups might need to be redefined by the entrepreneurial team on the basis of better models , knowing when to invest in developing lower - performance products that promise lower margins while still satisfying the need , and knowing when to pursue small markets at the expense of larger or established markets .","NN NNS MD VB TO VB VBN IN DT JJ NN IN DT NN IN JJR NNS , VBG WRB TO VB IN VBG JJR HYPH NN NNS WDT VBP JJR NNS IN RB VBG DT NN , CC VBG WRB TO VB JJ NNS IN DT NN IN JJR CC VBN NNS ."
157,Harry Kane won the Budweiser Man of the Match award .,NNP NNP VBD DT NNP NNP IN DT NNP NN .
158,The horse obeys .,DT NN VBZ .
159,We examine spacetime a bit more closely in the next subsection .,PRP VBP NN DT NN RBR RB IN DT JJ NN .
160,Moreau in 1958,NNP IN CD
161,Right ?,JJ .
162,So eee wish me luck .,UH UH VB PRP NN .
163,"Do they believe that , as leaders , we will put people first ?","VBP PRP VB IN , IN NNS , PRP MD VB NNS JJ ."
164,"If there are disagreements about the policies to be implemented , then the group that wins the political game will make the final decision .","IN EX VBP NNS IN DT NNS TO VB VBN , RB DT NN WDT VBZ DT JJ NN MD VB DT JJ NN ."
165,Image : Twitter / Barack Obama .,NN : NNP SYM NNP NNP .
166,Part 1 Getting Ready to Dance,NN CD VBG JJ TO VB
167,"Three , yes , the balloon trinity .","CD , UH , DT NN NN ."
168,We 're right now using an automated microscope that we developed several years ago for nuclear astrophysics work to scan the collector in the Cosmic Dust Lab in Building 31 at Johnson Space Center .,PRP VBP RB RB VBG DT JJ NN WDT PRP VBD JJ NNS RB IN JJ NN NN TO VB DT NN IN DT NNP NNP NNP IN NNP CD IN NNP NNP NNP .
169,"Environment Minister John Baird has asked government officials how such documents that are supposed to be stored in "" approved security cabinets "" wound up on the street .",NNP NNP NNP NNP VBZ VBN NN NNS WRB JJ NNS WDT VBP VBN TO VB VBN IN `` VBN NN NNS '' VBD RP IN DT NN .
170,"A few moments ago , the Senate welcomed three new Members to this Chamber .","DT JJ NNS RB , DT NNP VBD CD JJ NNPS IN DT NNP ."
171,"Emma Fleck . _ Needed : Entrepreneurial Mindset . _ Central Penn Business Journal , 34 ( 12 ) , 10 . http://pageturnpro2.com.s3-website-us-east-1.amazonaws.com/Publications/201803/15/83956/PDF/131668002208352000_CPBJ033018WEB.pdf","NNP NNP . `` VBN : JJ NN . '' NNP NNP NNP NNP , CD -LRB- CD -RRB- , CD . NNP"
172,"And to India , our much - loved motherland , the ancient , the eternal and the ever - new , we pay our reverent homage and we bind ourselves afresh to her service .","CC IN NNP , PRP$ RB HYPH VBN NN , DT JJ , DT JJ CC DT RB HYPH JJ , PRP VBP PRP$ JJ NN CC PRP VBP PRP RB IN PRP$ NN ."
173,"Depending on how we understand _ coincidence , _ my belief that there is a bird outside my window is coincidentally true because had I looked a little later , the bird would have flown away already .","VBG IN WRB PRP VBP `` NN , '' PRP$ NN IN EX VBZ DT NN IN PRP$ NN VBZ RB JJ IN VBD PRP VBN DT JJ RBR , DT NN MD VB VBN RB RB ."
174,"That said , we are realistic enough to realize that this goal will take decades to achieve .","DT VBN , PRP VBP JJ RB TO VB IN DT NN MD VB NNS TO VB ."
175,We have to have knowledge of the history of magic and what has been done before .,PRP VBP TO VB NN IN DT NN IN JJ CC WP VBZ VBN VBN RB .
176,Mistake is inevitable as long as there are human beings .,NN VBZ JJ RB RB IN EX VBP JJ NNS .
177,"I think by using emails on the one hand which are more the voice of the woman Eva and narrative which is more the perspective of the man Adam , I kind of confront them , their different perspective and then kind somehow you can see the distortions in the way the story is told .","PRP VBP IN VBG NNS IN DT CD NN WDT VBP RBR DT NN IN DT NN NNP CC NN WDT VBZ RBR DT NN IN DT NN NNP , PRP NN IN VBP PRP , PRP$ JJ NN CC RB NN RB PRP MD VB DT NNS IN DT NN DT NN VBZ VBN ."
178,"From B to C he stopped to receive his ticket and made no progress through space , only through time .","IN NNP IN NNP PRP VBD TO VB PRP$ NN CC VBD DT NN IN NN , RB IN NN ."
179,"To do this , choose pads ( the flat , oval - shaped sections that make up a cactus ) that are 6 months old or older and cut them at the base .","TO VB DT , VB NNS -LRB- DT JJ , JJ HYPH VBN NNS WDT VBP RP DT NN -RRB- WDT VBP CD NNS JJ CC JJR CC VB PRP IN DT NN ."
180,"His white V - neck undershirt was tucked into his pants in front , pulled taught over his belly .","PRP$ JJ NN HYPH NN NN VBD VBN IN PRP$ NNS IN NN , VBN JJ IN PRP$ NN ."
181,age ;,NN :
182,"It also gives the house a lovely smell , and is not toxic , unlike many synthetic chemical treatments .","PRP RB VBZ DT NN DT JJ NN , CC VBZ RB JJ , IN JJ JJ NN NNS ."
183,"Image ; Pacific Standard , provided by the owners .","NN : NNP NNP , VBN IN DT NNS ."
184,They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side .,PRP VBD JJ JJ NN IN VBG CD NNS IN NNP JJ NN NNS IN DT JJ NN IN DT NNP VBD CD NN IN DT NN NN .
185,PRESS RELEASE,NN NN
186,Holt attended Navarro College in 2007 and 2008 . [ 5 ],NNP VBD NNP NNP IN CD CC CD . -LRB- CD -RRB-
187,"_ Average age 62 , birth rate 0.22 , net immigration of half a million a year _ _","`` JJ NN CD , NN NN CD , JJ NN IN PDT DT CD DT NN '' :"
188,Marlena did it .,NNP VBD PRP .
189,THE FOURTH DAY,DT JJ NN
190,"Sydfynske _hav , the South Funen Archipelago , is located south of the Danish island of Funen , comprising 55 islands and islets , at the mouth of the Baltic Sea , with a bit more than 20,000 inhabitants in total .","NNP NNP , DT NNP NNP NNP , VBZ VBN RB IN DT JJ NN IN NNP , VBG CD NNS CC NNS , IN DT NN IN DT NNP NNP , IN DT NN RBR IN CD NNS IN NN ."
191,"He immediately impressed , making a sensational catch on the warning track to rob Ian Kinsler of a hit .","PRP RB VBD , VBG DT JJ NN IN DT NN NN TO VB NNP NNP IN DT NN ."
192,Watch _ _,VB : ''
193,It means that 90 percent of test scores are the same as or less than your score and that 10 percent of the test scores are the same as or greater than your test score .,PRP VBZ IN CD NN IN NN NNS VBP DT JJ IN CC JJR IN PRP$ NN CC IN CD NN IN DT NN NNS VBP DT JJ IN CC JJR IN PRP$ NN NN .
194,Make sure the shelter box has no nails or safety hazards .,VB JJ DT NN NN VBZ DT NNS CC NN NNS .
195,My personal favourite is Notes from the Underground ( Dostoyevsky ) .,PRP$ JJ NN VBZ NNPS IN DT NNP -LRB- NNP -RRB- .
196,Right ?,JJ .
197,"We just want to be able to bring , like she said , bring light into the entertainment and into the media industry , specifically is what we do .","PRP RB VBP TO VB JJ TO VB , IN PRP VBD , VB NN IN DT NN CC IN DT NNS NN , RB VBZ WP PRP VBP ."
198,"In fact the variation in form in unrelated languages across the globe is about the same as the variation we find in the way any regular word ( e.g. , dog ) is pronounced across dialects of English .","IN NN DT NN IN NN IN JJ NNS IN DT NN VBZ RB DT JJ IN DT NN PRP VBP IN DT NN DT JJ NN -LRB- FW , NN -RRB- VBZ VBN IN NNS IN NNP ."
199,"Of course , even if Ruse is correct , this does not show that moral judgments are not objective , but it can make us think whether the objectivity of morality really has to be explained , as many philosophers assume .","IN NN , RB IN NNP VBZ JJ , DT VBZ RB VB IN JJ NNS VBP RB JJ , CC PRP MD VB PRP VB IN DT NN IN NN RB VBZ TO VB VBN , IN JJ NNS VBP ."
