,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
11,"Arrogance and smugness is often a reflection of limited life experience , and feeling concerned that those with greater life experience "" have got something over them "" .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN `` VBP VBN NN IN PRP '' .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC NN JJ IN DT IN JJR NN NN NN VBP VBN NN IN PRP VBP .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN '' VBP VBN NN IN PRP '' .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN '' VBP VBN NN IN PRP '' .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN `` VBP VBD NN IN PRP '' .","NN CC NN VBZ RB DT NN IN VBN NN NN , CC NN VBN IN DT IN JJR NN NN `` VB VBD NN IN PRP '' .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN `` VBP VBN NN IN PRP '' ."
12,Look at this .,VB IN DT .,NN IN DT .,VB IN DT .,VB IN DT .,VB IN DT .,VB IN DT .,VB IN DT .
13,Or Renata might be sleeping in her car .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .,CC NNP MD VB VBG IN PRP$ NN .
14,"There are floral , animal and bird motifs .","EX VBP JJ , NN CC NN NNS .","EX VBP JJ , JJ CC JJ NNS .","EX VBP JJ , NN CC NN NNS .","EX VBP JJ , NN CC NN NN .","EX VBP JJ , NN CC NN NNS .","EX VBP JJ , NN CC NN NNS .","EX VBP JJ , NN CC NN NNS ."
15,Runs batted in 171,NNS VBN IN CD,NNP VBD IN CD,VBZ VBN IN CD,NNS VBD IN CD,NNS VBN IN CD,NNS VBD IN CD,NNS VBN IN CD
16,"By compiling data from published literature we found that in thirty - one languages around the world , the interjection for other - initiated repair appears to be strongly similar ( Figure 1 ) .","IN VBG NNS IN VBN NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ -LRB- NNP CD -RRB- .","IN VBG NNS IN VBN NN PRP VBD IN IN NN : CD VBZ IN DT NN , DT NN IN JJ : VBN NN VBZ TO VB RB JJ ( NNP CD ) .","IN VBG NNS IN VBN NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ -LRB- NN CD -RRB- .","IN VBG NNS IN VBN NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ -LRB- NN CD -RRB- .","IN VBG NNS IN JJ NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ : NN CD -RRB- .","IN VBG NNS IN VBN NN PRP VBD IN IN CD : CD NNS IN DT NN , DT NN IN JJ : VBN NN VBZ TO VB RB JJ -LRB- NN CD -RRB- .","IN VBG NNS IN VBN NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ -LRB- NNP CD -RRB- ."
17,"In a future study , it is also important to consider if additional training in the difference between reporting on felicity and truth value judgments would impact results , or if more naturalistic experimental conditions ( e.g. , demonstrating actions using real objects instead of two - dimensional depictions ) would be beneficial .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN RBR JJ JJ NNS -LRB- FW , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ .","IN DT NN NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN RBR JJ JJ NNS ( NN , VBG NNS VBG JJ NNS RB IN CD : JJ NNS ) MD VB JJ .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN JJR JJ JJ NNS -LRB- FW , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN JJR JJ JJ NNS -LRB- RB , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN RBR JJ JJ NNS , RB , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN JJR JJ JJ NNS -LRB- FW , VBG NNS VBG JJ NNS RB IN CD : JJ NNS -RRB- MD VB JJ .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN RBR JJ JJ NNS -LRB- FW , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ ."
18,"For an indefinite time I clung to the machine as it swayed and vibrated , quite unheeding how I went , and when I brought myself to look at the dials again I was amazed to find where I had arrived .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD JJ TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBP TO DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD VBN TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD JJ TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBN , RB VBG WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD JJ TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD JJ TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBD TO DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD VBN TO VB WRB PRP VBD VBN .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD VBN TO VB WRB PRP VBD VBN ."
19,Why not add some non Latin Characters such as _ ?,WRB RB VB DT RB JJ NNS JJ IN SYM .,WRB RB VB DT JJ JJ NNS JJ IN NNS .,WRB RB VB DT FW JJ NNS JJ IN NN .,WRB RB VB DT AFX JJ NNPS JJ IN NN .,WRB RB VB DT AFX NNP NNPS JJ IN DT .,WRB RB VB DT JJ JJ NNS JJ IN NN .,WRB RB VB DT JJ JJ NNS JJ IN NN .
20,This place was incredible .,DT NN VBD JJ .,DT NN VBD JJ .,DT NN VBD JJ .,DT NN VBD JJ .,DT NN VBD JJ .,DT NN VBD JJ .,DT NN VBD JJ .
21,Thank you .,VBP PRP .,NNP PRP .,VBP PRP .,VBP PRP .,VBP PRP .,VB PRP .,VBP PRP .
22,"It was pretty much the first thing he told us when , as first years , we were all bunched together in the unfamiliar dusty classroom .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD RB VBN RB IN DT JJ JJ NN .","PRP VBD RB JJ DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD DT VBN RB IN DT JJ JJ NN .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD DT VBN RB IN DT JJ JJ NN .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD RB VBN RB IN DT JJ JJ NN .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD DT VBN RB IN DT JJ JJ NN .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD DT VBN RB IN DT JJ JJ NN .","PRP VBD RB RB DT JJ NN PRP VBD PRP WRB , IN JJ NNS , PRP VBD RB VBN RB IN DT JJ JJ NN ."
23,"_ There they are , _ said Pavit , the head house - servant , in a strained voice .","`` RB PRP VBP , '' VBD NNP , DT NN NN HYPH NN , IN DT VBN NN .","NN EX PRP VBP , NNP VBD NNP , DT NN NN : NN , IN DT JJ NN .","`` EX PRP VBP , '' VBD NNP , DT NN NN HYPH NN , IN DT JJ NN .","`` RB PRP VBP , '' VBD NNP , DT NN NN HYPH NN , IN DT JJ NN .","`` RB PRP VBP , PRP VBD NNP , DT NN NN HYPH NN , IN DT JJ NN .","NN EX PRP VBP , NNP VBD NNP , DT NN NN : NN , IN DT JJ NN .","`` RB PRP VBP , '' VBD NNP , DT NN NN HYPH NN , IN DT VBN NN ."
24,"Since your own death approaches far more quickly , this is unlikely to be of any use to you .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP .","IN PRP$ JJ NN NNS RB RBR RB , DT VBZ JJ TO VB IN DT NN TO PRP .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP .","IN PRP$ JJ NN NNS RB RBR RB , DT VBZ JJ TO VB IN DT NN TO PRP .","IN PRP$ JJ NN VBZ RB RBR RB , DT VBZ JJ TO VB IN DT NN IN PRP ."
25,Okay thank you your honor .,UH VBP PRP PRP$ NN .,NNP NN PRP PRP$ NN .,UH VBP PRP PRP$ NN .,UH VBP PRP PRP$ NN .,UH VBP PRP PRP$ NN .,UH VB PRP PRP$ NN .,UH VBP PRP PRP$ NN .
26,Is light actually bent from its straight - line path by the mass of Earth ?,VBZ NN RB VBN IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .,VBZ JJ RB JJ IN PRP$ JJ : NN NN IN DT NN IN NNP .,VBZ NN RB VBD IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .,VBZ JJ RB JJ IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .,VBZ NN RB VBN IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .,VBZ NN RB VBD IN PRP$ JJ : NN NN IN DT NN IN NNP .,VBZ NN RB VBN IN PRP$ JJ HYPH NN NN IN DT NN IN NNP .
27,"When making a writing system , take a break about every five minutes and come back to it or all your letters will begin to look identical .","WRB VBG DT NN NN , VB DT NN RB DT CD NNS CC VB RB IN PRP CC PDT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN IN DT CD NNS CC VB RB TO PRP CC DT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN IN DT CD NNS CC VB RB IN PRP CC PDT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN RB DT CD NNS CC VB RB IN PRP CC DT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN RB DT CD NNS CC VB RB IN PRP CC DT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN IN DT CD NNS CC VB RB TO PRP CC DT PRP$ NNS MD VB TO VB JJ .","WRB VBG DT NN NN , VB DT NN RB DT CD NNS CC VB RB IN PRP CC PDT PRP$ NNS MD VB TO VB JJ ."
28,I grab her hand and pull her behind me .,PRP VBP PRP$ NN CC VBP PRP IN PRP .,PRP VBP PRP$ NN CC VB PRP$ IN PRP .,PRP VBP PRP$ NN CC VB PRP IN PRP .,PRP VBP PRP$ NN CC VB PRP IN PRP .,PRP VBP PRP$ NN CC VBP PRP IN PRP .,PRP VB PRP$ NN CC VB PRP IN PRP .,PRP VBP PRP$ NN CC VBP PRP IN PRP .
29,You have anything in your hair ?,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .,PRP VBP NN IN PRP$ NN .
30,Although neither the federal government nor any of the state governments function as a direct democracy _ the Constitution requires the national and state governments to be representative forms of government _ some elements of direct democracy do exist in the United States .,IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN : DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN : DT NNS IN JJ NN VBP VB IN DT NNP NNPS .,IN CC DT JJ NN CC DT IN DT NN NNS NN IN DT JJ NN VBZ DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN NNP DT NNS IN JJ NN VBP VB IN DT NNP NNPS .,"IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN , DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN HYPH DT NNS IN JJ NN VBP VB IN DT NNP NNP .",IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN : DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN : DT NNS IN JJ NN VBP VB IN DT NNP NNP .,IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN `` DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN `` DT NNS IN JJ NN VBP VB IN DT NNP NNP .,IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN IN DT NNP VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN IN DT NNS IN JJ NN VBP VB IN DT NNP NNP .,IN CC DT JJ NN CC DT IN DT NN NNS VBP IN DT JJ NN : DT NN VBZ DT JJ CC NN NNS TO VB JJ NNS IN NN : DT NNS IN JJ NN VBP VB IN DT NNP NNPS .
31,You know boys are slow ?,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .,PRP VBP NNS VBP JJ .
32,The request was advanced by the Municipality of Livorno in 2010 .,DT NN VBD VBN IN DT NNP IN NNP IN CD .,DT NN VBD VBN IN DT NNP IN NNP IN CD .,DT NN VBD VBN IN DT NN IN NNP IN CD .,DT NN VBD VBN IN DT NNP IN NNP IN CD .,DT NN VBD VBN IN DT NNP IN NNP IN CD .,DT NN VBD VBN IN DT NNP IN NNP IN CD .,DT NN VBD VBN IN DT NNP IN NNP IN CD .
33,"If using a silicone cupcake sheet , simply have it ready .","IN VBG DT NN NN NN , RB VB PRP JJ .","IN VBG DT JJ NN NN , RB VB PRP JJ .","IN VBG DT NN NN NN , RB VBP PRP JJ .","IN VBG DT NN NN NN , RB VB PRP JJ .","IN VBG DT NN NN NN , RB VB PRP JJ .","IN VBG DT NN NN NN , RB VB PRP JJ .","IN VBG DT NN NN NN , RB VB PRP JJ ."
34,"Lemon , or lemon and honey is good .","NN , CC NN CC NN VBZ JJ .","NNP , CC NN CC NN VBZ JJ .","NNP , CC NN CC NN VBZ JJ .","NNP , CC NN CC NN VBZ JJ .","NN , CC NN CC NN VBZ JJ .","NNP , CC NN CC NN VBZ JJ .","NN , CC NN CC NN VBZ JJ ."
35,"Norton would later add "" Protector of Mexico "" to this title .",NNP MD RBR VB `` NNP IN NNP '' IN DT NN .,NNP MD RB VB NNP NNP IN NNP NNP TO DT NN .,NNP MD RB VB `` NNP IN NNP '' IN DT NN .,NNP MD RB VB `` NNP IN NNP '' IN DT NN .,NNP MD RB VB `` NNP IN NNP '' IN DT NN .,NNP MD RB VB `` NNP IN NNP '' TO DT NN .,NNP MD RBR VB `` NN IN NNP '' IN DT NN .
36,Fuck fuck fuck .,UH UH UH .,NNP JJ NN .,UH VB VB .,NN NN NN .,JJ NN NN .,NNP VB VB .,VB VB VB .
37,"Internationally , the situation with COVID - 19 continues to develop at pace .","RB , DT NN IN NNP HYPH CD VBZ TO VB IN NN .","RB , DT NN IN NNP : CD VBZ TO VB IN NN .","RB , DT NN IN NN HYPH CD VBZ TO VB IN NN .","RB , DT NN IN NNP HYPH CD VBZ TO VB IN NN .","RB , DT NN IN NNP HYPH CD VBZ TO VB IN NN .","RB , DT NN IN NNP : CD VBZ TO VB IN NN .","RB , DT NN IN NNP HYPH CD VBZ TO VB IN NN ."
38,The government has been much more pro-active in preparing for this cyclone than in the past .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR <UNK> IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .,DT NN VBZ VBN RB RBR JJ IN VBG IN DT NN IN IN DT NN .
39,"I was no stranger to the taunts and insults , or the foot that appears from nowhere to trip you up en route from A to B .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO VB PRP RP IN NN IN NN IN NN .","PRP VBD DT NN TO DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO NN PRP RP IN NN IN NNP TO NNP .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB IN NN PRP RP IN NN IN DT IN NN .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO VB PRP RP IN NN IN NN IN NN .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO VB PRP RP IN NN IN NN IN NN .","PRP VBD DT NN TO DT NNS CC NNS , CC DT NN IN VBZ IN RB TO NN PRP RB IN NN IN NNP TO NNP .","PRP VBD DT NN IN DT NNS CC NNS , CC DT NN WDT VBZ IN RB TO VB PRP RP IN NN IN NNP IN NNP ."
40,"Wikinews provides additional video , audio and photographs so our readers may learn more .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB RBR .","NNP VBZ JJ NN , NN CC NN RB PRP$ NNS MD VB JJR .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB JJR .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB JJR .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB JJR .","NNP VBZ JJ NN , JJ CC NNS RB PRP$ NNS MD VB JJR .","NNP VBZ JJ NN , NN CC NNS IN PRP$ NNS MD VB JJR ."
41,Declares himself emperor,VBZ PRP NN,VBZ PRP NN,VBZ PRP NN,VBZ PRP NN,VBZ PRP NN,NNS PRP .,VBZ PRP NN
42,"Although the lodging and facilities may not be the same as more modern and developed locations , Socotra is a beautiful and magnificent destination choice .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN JJR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN JJR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC JJ NNS , NNP VBZ DT JJ CC JJ NN NN .","IN DT NN CC NNS MD RB VB DT JJ IN RBR JJ CC VBN NNS , NNP VBZ DT JJ CC JJ NN NN ."
43,"It can also make him or her question your motives , leading the person to believe that you may be trying to get something out of him or her .","PRP MD RB VB PRP CC PRP VB PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP$ NN PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP$ NN PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP$ NN PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP VB PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP$ NN PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP .","PRP MD RB VB PRP CC PRP VBP PRP$ NNS , VBG DT NN TO VB IN PRP MD VB VBG TO VB NN IN IN PRP CC PRP ."
44,Ingredients,NNS,NNS,NNS,NNS,NNS,NNS,NNS
45,"From the East / Arkansas - US - 412 West , aka the "" Cherokee Turnpike . ""","IN DT NNP SYM NNP : NNP HYPH CD NNP , RB DT `` NNP NNP . ''","IN DT NNP NNP NNP : NNP : CD NNP , VBZ DT NNP NNP NNP . NN","IN DT NNP HYPH NNP HYPH NNP HYPH CD NNP , IN DT `` NNP NNP . ''","IN DT NNP SYM NNP HYPH NNP HYPH CD NNP , RB DT `` NNP NNP . ''","IN DT NNP SYM NNP HYPH NNP HYPH CD NNP , IN DT `` NNP NNP . ''","IN DT NNP NNP NNP : PRP : CD NNP , CC DT `` NNP NNP . ''","IN DT NNP , NNP HYPH NNP HYPH CD NNP , IN DT `` NNP NNP . ''"
46,Sweat the peppers or vegetables along with the onions .,VB DT NNS CC NNS RB IN DT NNS .,NNP DT NNS CC NNS IN IN DT NNS .,NN DT NNS CC NNS IN IN DT NNS .,VB DT NNS CC NNS IN IN DT NNS .,VB DT NNS CC NNS IN IN DT NNS .,NN DT NNS CC NNS IN IN DT NNS .,VB DT NNS CC NNS IN IN DT NNS .
47,"Cities served are Tulsa , Sand Springs , Sapulpa , Jenks , and Broken Arrow .","NNS VBN VBP NNP , NNP NNP , NNP , NNP , CC NNP NNP .","NNS VBD VBP NNP , NNP NNP , NNP , NNP , CC NNP NNP .","NNS VBD VBP NNP , NNP NNP , NNP , NNP , CC JJ NNP .","NNS VBD VBP NNP , NNP NNP , NNP , NNPS , CC NNP NNP .","NNS VBN VBP NNP , NNP NNPS , NNP , NNP , CC NNP NNP .","NNPS VBN VBP NNP , NNP NNP , NNP , NNP , CC NNP NNP .","NNS VBN VBP NNP , NNP NNP , NNP , NNP , CC NNP NNP ."
48,"She imagined red and yellow mosaic bursts lighting up the sunless snowscape outside , as if there was an HDTV behind the blinds instead of their kitchen window .","PRP VBD JJ CC JJ NN NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ NN NNS VBG RP DT NN NN RB , IN IN EX VBD DT NNP IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ NN NNS VBG IN DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ JJ NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ NN NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ NN NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN .","PRP VBD JJ CC JJ NN NNS VBG RP DT JJ NN RB , IN IN EX VBD DT NN IN DT NNS RB IN PRP$ NN NN ."
49,Address to the Nation,NN IN DT NNP,NN TO DT NN,NN IN DT NNP,NN IN DT NN,NN IN DT NN,NNP TO DT NN,NN IN DT NNP
50,Mhm .,UH .,NNP .,UH .,UH .,UH .,NNP .,UH .
