,sequence,pos,nltk,corenlp,opennlp,spacy,flair
176,data splitter,NNS NN,NNS NN,NNS NN,NNS NN,NNS NN,NNS NN
177,series splitter,NN NN,NN NN,VB NN,NNS NN,NNS NN,NN NN
178,frame splitter,NN NN,VB NN,JJ NN,NN VBZ,NN NN,VB NN
179,named agg,VBN NNP,VBN NNS,VBN NN,VBN NN,VBN NN,VBN NN
180,series group by,NN VB IN,NN NN IN,VB NN IN,NNS NN IN,NNS NN IN,NN NN IN
181,data frame group by,NN NN VB IN,NNS NN NN IN,NNS JJ NN IN,NNS NN NN IN,NNS NN NN IN,NNS NN NN IN
182,output key,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
183,grouper,NN,NN,NN,VB,NN,NN
184,grouping,NN,VBG,VBG,VBG,VBG,VBG
185,group by plot,NN IN NN,NN IN NN,NN IN NN,NN IN NN,VB IN NN,NN IN NN
186,base group by,JJ NN RB,NN NN IN,NN NN IN,NN NN IN,VB NN IN,NN NN IN
187,group by,VB IN,NN IN,NN IN,NN IN,VB IN,NN IN
188,join unit,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
189,block,NN,NN,NN,NN,VB,NN
190,ea backed block,NNP VBN NN,VB JJ NN,VB NN NN,JJ JJ NN,VB JJ NN,FW VBN NN
191,extension block,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
192,numpy block,NNP NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
193,nd array backed extension block,NNP NN VBN NN NN,JJ NN JJ NN NN,VB NN NN NN NN,VB NN JJ NN NN,DT NN VBN NN NN,FW NN VBN NN NN
194,datetime like block,NN IN NN,VB IN NN,VB IN NN,NN IN NN,VB IN NN,NN IN NN
195,datetime tz block,NN NNP NN,VB NN NN,VB NN NN,NN NN NN,VB IN NN,NN NNP NN
196,block pair info,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
197,base block manager,NN NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
198,block manager,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
199,single block manager,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
200,concatenator,NN,NN,VB,NN,NN,NN
201,merge operation,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
202,ordered merge,VBN VB,VBN NNS,JJ NN,VBN VB,VBN NN,VBN VB
203,as of merge,IN IN VB,IN IN NN,IN IN NN,IN IN VB,IN IN NN,IN IN VB
204,unstacker,NN,NN,VB,JJ,NN,NN
205,extension d type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
206,storage extension d type,NN NN NN NN,VB NN NN NN,NN NN NN NN,JJ NN NN NN,VB NN NN NN,NN NN NN NN
207,registry,NN,VB,NN,VB,VB,NN
208,pandas extension d type,NNP NN NN NN,VB NN NN NN,VB NN NN NN,VBZ NN NN NN,VB NN NN NN,NNS NN NN NN
209,categorical d type type,JJ NN NN NN,JJ NN NN NN,VB NN NN NN,VB NN NN NN,JJ NN NN NN,JJ NN NN NN
210,categorical d type,JJ NN NN,JJ NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NN
211,datetime tzd type,NN NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
212,period d type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
213,interval d type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
214,numpy ead type,NNP NNP NN,VB NN NN,VB NN NN,NN JJ NN,NNS NN NN,JJ NN NN
215,base masked d type,JJ VBN NN NN,NN JJ NN NN,NN NN NN NN,NN JJ NN NN,NN NNS NN NN,NN JJ NN NN
216,sparse d type,JJ NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,JJ NN NN
217,arrow d type,NN NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
218,nd frame describer abstract,NNP NN NN NN,VB JJ NNP NN,VB JJ NN JJ,VB NN NN JJ,VB JJ NN NN,FW NN NN NN
219,series describer,NN NN,NN NNP,VB NN,NNS NN,NNS NN,NN NN
220,data frame describer,NN NN NN,NNS NN NN,NNS JJ NN,NNS NN NN,NNS NN NN,NNS NN NN
221,select n,VB CD,VB NN,VB NN,VB NN,VB NNS,VB NN
222,select n series,VB CD NNS,VB NN NN,VB NN NN,VB NN NNS,VB NN NNS,VB NN NN
223,select n frame,VB CD NN,VB NN NN,VB NN JJ,VB NN NN,VB NN NN,VB NN NN
224,object string array mixin,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NNS,NN NN NN NN
225,base string array methods,JJ NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,VB NN NN NNS
226,string methods,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
227,string d type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
228,base string array,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
229,string array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
230,period array,NN NN,NN NN,NN NN,NN NN,JJ NN,NN NN
231,numpy extension array,NN NN NN,JJ NN NN,VB NN NN,JJ NN NN,NNS NN NN,JJ NN NN
232,interval array,NN NN,JJ NN,NN NN,JJ NN,VB NN,JJ NN
233,numeric d type,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
234,numeric array,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
235,base masked array,JJ VBN NN,NN JJ NN,NN NN NN,NN JJ NN,NN VBN NN,NN JJ NN
236,nd array backed extension array,NNP NN VBN NN NN,JJ NN JJ NN NN,VB NN NN NN NN,VB NN JJ NN NN,DT NN VBN NN NN,FW NN VBN NN NN
237,boolean d type,NN NN NN,VB NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN
238,boolean array,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
239,extension array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
240,extension array supports any all,NN NN VBZ DT DT,NN NN VBZ DT NN,NN NN VBZ DT DT,NN NN NNS NN DT,NN NN VBZ DT DT,NN NN VBZ DT DT
241,extension ops mixin,NN NN NN,NN NNS NN,NN NNS NN,NN NNS NN,NN JJ NNS,NN NNS NN
242,extension scalar ops mixin,NN NN NN NN,NN JJ NNS NN,NN NN NNS NN,NN NN NNS NN,NN JJ NN NNS,NN NN NNS NN
243,arrow string array mixin,NN NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,VB NN NN NNS,VB NN NN NN
244,datetime array,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
245,floating d type,JJ NN NN,VBG NN NN,VB NN NN,NN NN NN,VB NN NN,VBG NN NN
246,floating array,JJ NN,VBG NN,VB NN,JJ NN,VBG NN,VBG NN
247,float32 d type,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,FW NN NN,NN NN NN
248,float64 d type,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
249,categorical,JJ,JJ,VB,JJ,VB,JJ
250,categorical accessor,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
251,arrow string array,NN NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN
252,arrow string array numpy semantics,NN NN NN NNP NN,VB NN NN JJ NNS,VB NN NN NN NNS,NN NN NN NN NNS,VB NN NN NN NNS,VB NN NN JJ NNS
253,integer d type,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN,NN NN NN
254,integer array,NN NN,VB NN,NN NN,VB NN,VB NN,NN NN
255,int8 d type,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,FW FW NN
256,int16 d type,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,FW FW NN
257,int32 d type,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN
258,int64 d type,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN
259,uint8 d type,NNP NN NN,VB NN NN,VB NN NN,FW NN NN,VB NN NN,NN NN NN
260,uint16 d type,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
261,uint32 d type,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
262,uint64 d type,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
263,timedelta array,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
264,datetime like array mixin,NN IN NN NN,VB IN NN NN,VB IN NN NN,NN IN NN NN,VB IN NN NNS,NN IN NN NN
265,date like ops,NN IN NN,NN IN NNS,NN IN NNS,VB IN NNS,NN IN NNS,NN IN NNS
266,time like ops,NN IN NN,NN IN NNS,NN IN NNS,NN IN NNS,NN IN NNS,NN IN NNS
267,base accessor,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
268,sparse accessor,JJ NN,VB NN,VB NN,VB NN,VB NN,JJ NN
269,sparse frame accessor,JJ NN NN,VB NN NN,VB JJ NN,VB NN NN,VB JJ NN,JJ NN NN
270,ellipsis,NN,NN,VB,VBZ,NN,NN
271,sparse array,JJ NN,VB NN,VB NN,VB NN,VB NN,JJ NN
272,arrow period type,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
273,arrow interval type,NN NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
274,forbidden extension type,JJ NN NN,VB NN NN,VB NN NN,IN NN NN,JJ NN NN,VBN NN NN
275,arrow accessor,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
276,list accessor,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
277,struct accessor,NN NN,VB NN,NN NN,NN NN,VB NN,VB NN
278,arrow extension array,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
279,base indexer,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
280,fixed window indexer,JJ NN NN,VBN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
281,variable window indexer,JJ NN NN,VB NN NN,NN NN NN,NN NN NN,JJ NN NN,JJ NN NN
282,variable offset window indexer,JJ NN NN NN,JJ NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,JJ NN NN NN
283,expanding indexer,JJ NN,VBG NN,VB NN,VBG NN,VBG NN,VBG NN
284,fixed forward window indexer,JJ JJ NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ JJ NN NN,JJ JJ NN NN
285,groupby indexer,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
286,exponential moving window indexer,JJ JJ NN NN,JJ VBG NN NN,VB NN NN NN,JJ NN NN NN,JJ JJ NN NN,JJ VBG NN NN
